Model,Train,Val,Test,TrainF1,ValF1,TestF1
yolo-v4-55-21042022,13134,1638,1638,0.653739115,0.533837429,0.52732136
yolo-v4-56-20042022,16384,2043,2043,0.693137255,0.548834464,0.533614712
yolo-v4-57-21042022,10269,1281,1281,0.699643846,0.587225929,0.578592093
yolo-v4-58-21042022,15063,1878,1878,0.647077163,0.528178244,0.536231884
yolo-v4-59-23042022,14245,1776,1776,0.646386889,0.542936288,0.542185339
yolo-v4-60-23042022,10269,1281,1281,0.768699779,0.603377453,0.616874136
yolo-v4-61-10052022,13904,1733,1733,0.489581857,0.436532508,0.454087563
yolo-v4-62-11052022,15063,1878,1878,0.614778325,0.518104016,0.518987342
yolo-v4-63-13052022,3053,378,378,0.658059616,0.500869565,0.433566434
yolo-v4-65-14052022,15063,1878,1878,0.47488865,0.419666374,0.434318737
yolo-v4-64-14052022,14824,1849,1849,0.22609296,0.183447549,0.174208737
yolo-v4-66-12052022,1826,223,223,0.532409012,0.456647399,0.483965015